claim,RQ,strength_label,evidence_type,evidence_file,table_or_figure,limitation,safe_report_wording
"Fixed blur remains the practical balanced fallback, not a globally obsolete baseline.",RQ2/RQ4,strongly_supported,executed_artefact,outputs/03_anonymisation/01_all_methods_comparison.csv,all-method comparison,Blur is not privacy-first and does not dominate the final balanced policy.,Blur remains the practical balanced fallback under current comparable evidence.
Solid masking is the privacy-first fallback.,RQ2,strongly_supported,executed_artefact,outputs/03_anonymisation/01_all_methods_comparison.csv,stronger baseline metrics,High face-region visual utility loss.,Solid masking gives strongest identity suppression where privacy is prioritized over execution-environment face-region utility.
Layered obfuscation is a stronger privacy candidate than blur when modest utility loss is acceptable.,RQ2,strongly_supported,executed_artefact,outputs/03_anonymisation/01_all_methods_comparison.csv,stronger baseline metrics,"Still obfuscation, not identity-preserving synthesis.",Layered obfuscation improves privacy over blur while retaining more utility than solid masking.
NullFace is fully metrically comparable but quality/runtime bounded.,RQ2,supported_but_bounded,executed_artefact,outputs/03_anonymisation/01_all_methods_comparison.csv; outputs/03_anonymisation/03_nullface/03_nullface_runtime_summary.csv,Canonical RQ2 comparison and NullFace output manifest,Visual-quality risks and the 20.389381-second mean runtime prevent default promotion.,NullFace provides comparable evidence but is not promoted as default under current quality boundary.
OAPR is a global replacement for fixed blur.,RQ4,not_supported,executed_artefact,outputs/05_oapr/12_oapr_full_metric_summary.csv,OAPR actual routed-output metrics,"The seven objective modes produce different privacy, utility, and runtime trade-offs; none establishes universal dominance.","OAPR is an objective-aware policy layer with actual 500-frame routed-output evidence, not a global blur replacement."
Multimodal processing extends privacy handling beyond faces.,RQ3,supported_but_bounded,executed_artefact,outputs/04_multimodal_privacy/01_multimodal_250_evidence/11_rq3_final_summary.md; outputs/04_multimodal_privacy/01_multimodal_250_evidence/16_residual_hard_miss_campaign/02_campaign_report.md,11_rq3_final_summary.md; residual hard-miss campaign; multimodal deployment selection scores,Presence OAPR can look strong while screen IoU/text precision remain limited; residual text/low-IoU cases and utility loss remain. Presence and localisation scores must both be reported.,The multimodal stage uses a reviewed 250-frame protocol with text-cluster screen completion and a strict edge-phone residual when still empty; held-out screen presence FN is 0; combined-risk presence recall is 0.9804 and presence composite 0.9458. Localisation-oriented deployment score (~0.62) reports localisation honesty. Adaptive redaction reaches privacy 0.8680 and score 0.8320 vs fixed blur/fill 0.8319. Perfect localisation and complete PII removal are not claimed.
StyleGAN is unsuitable as a default egocentric anonymiser in this project.,RQ2,supported_but_bounded,executed_artefact,outputs/03_anonymisation/01_all_methods_comparison.csv,advanced method promotion decision,Project-specific implementation and evidence boundary.,StyleID/StyleGAN remains negative/bounded evidence due to egocentric compositing and pose/scale failure modes.
The main RQ1 face-detection ground truth is the reviewed 500-image detection status and completed face boxes.,RQ1,strongly_supported,executed_artefact,outputs/01_protocol/annotations/face_detection/02_egocentric_stress_500/manifest.csv; outputs/01_protocol/annotations/face_detection/02_egocentric_stress_500/manifest.csv,Evidence provenance table,"Detection ground truth supports face detection, not direct anonymiser quality.",RQ1 uses reviewed detection-eval status and face boxes as its primary ground-truth layer.
Multimodal residual-risk review identifies localization and redaction failures.,RQ3,supported_but_bounded,executed_artefact,outputs/04_multimodal_privacy/01_multimodal_250_evidence/10_residual_risk_analysis.csv,Held-out residual-risk analysis,The flags use OCR and region-obscuration proxies and do not establish absence of semantic leakage.,Held-out residual-risk evidence separates detector misses from text readability screen obscuration and utility failures.
OAPR routes real images through available anonymisation methods and records outputs and explanations.,RQ4,supported_but_bounded,executed_artefact,outputs/05_oapr/03_routing_log.csv; outputs/05_oapr/12_oapr_full_metric_summary.csv,OAPR 500-frame routed-output evaluation,Objective-specific routing is bounded by method eligibility and does not establish global superiority over fixed blur.,The 500-frame routed-output evaluation demonstrates auditable objective-specific method selection with explicit fallback behaviour.
Reverse Personalization improved after targeted retry but remains incomplete and impractical.,RQ2,supported_but_bounded,executed_artefact,outputs/03_anonymisation/05_reverse_personalization/09_rp_final_metric_summary.csv; outputs/03_anonymisation/05_reverse_personalization/03_rp_before_after_fix_comparison.csv,RP retry and metric closure,Final output coverage is 482/500 and runtime remains high.,"Targeted retry improved Reverse Personalization coverage to 482/500, but residual failures and runtime prevent deployment promotion."
RiDDLE is a numerically strong full-comparable research method but is not default-policy eligible.,RQ2/RQ4,supported_but_bounded,executed_artefact,outputs/03_anonymisation/12_riddle/07_riddle_metric_summary.csv; outputs/03_anonymisation/16_visual_quality_hardening/01_uniform_visual_quality_summary.csv,RiDDLE full metrics and final visual eligibility,Fourteen of 100 reviewed crops showed obvious artifacts; targeted alignment/candidate tuning retained synthetic pose/gaze failure; source licensing is unstated.,"RiDDLE is quantitatively competitive research evidence, but the visual gate excludes it from default runtime routing."
FALCO provides strong identity suppression but is not the default policy candidate.,RQ2,supported_but_bounded,executed_artefact,outputs/03_anonymisation/13_falco/07_falco_metric_summary.csv; outputs/03_anonymisation/14_group2_comparison/08_group2_visual_review.csv,FALCO full comparable metrics and visual review,Mean runtime is 16.623 seconds/frame and 22/100 reviewed crops show obvious artifacts.,FALCO is full-comparable privacy-strong evidence whose runtime and visual quality prevent default routing.
The ungated grouped held-out OAPR policy exceeds fixed layered obfuscation under the declared hardened objective.,RQ4,strongly_supported_historical_upper_comparison,executed_artefact,outputs/03_anonymisation/14_group2_comparison/05_paired_policy_statistics.csv,Group 2 held-out policy simulation,The result is objective- and protocol-specific and does not include executable artifact fallback.,The ungated held-out simulation scores 0.909798 versus 0.889789 for fixed layered; it is retained as an upper comparison rather than the final executable policy.
The RiDDLE-heavy materialised policy is a measured historical policy ablation.,RQ4,strongly_supported_historical_ablation,executed_artefact,outputs/03_anonymisation/15_materialised_adaptive_policy/13_final_policy_metric_summary.csv; outputs/03_anonymisation/15_materialised_adaptive_policy/14_final_policy_paired_comparison.csv; outputs/03_anonymisation/15_materialised_adaptive_policy/15_final_quality_gate_effect.csv,RiDDLE-heavy materialised policy ablation,The grouped gate recalled 11/14 reviewed artifacts and did not reliably cover pose/gaze failures; it is not the runtime default.,"The RiDDLE-heavy policy produced 500/500 measured outputs and a positive objective-specific numerical gain, but was superseded by the visual-safe deterministic policy."
The final visual-safe adaptive policy completes all 500 routes without selecting a generative method.,RQ2/RQ4,strongly_supported,executed_artefact,outputs/03_anonymisation/16_visual_quality_hardening/04_final_visual_safe_policy.csv; outputs/03_anonymisation/16_visual_quality_hardening/06_final_visual_safe_policy_summary.csv,Final visual-safe policy and distribution,Objective-specific evidence on the reviewed CASTLE protocol; no universal dominance or zero-artifact claim.,"After a uniform visual gate, the final policy routes reviewed no-face frames unchanged and uses deterministic layered or solid-mask anonymisation for face-positive frames, completing 500/500 routes with zero failures."
Author-aligned recipes do not make the evaluated generative methods safe default routes on hard egocentric conditions.,RQ2/RQ4,supported_but_bounded,executed_artefact,outputs/03_anonymisation/17_author_recipe_visual_audit/01_author_recipe_configuration.csv; outputs/03_anonymisation/17_author_recipe_visual_audit/02_five_case_visual_gate.csv,Seven-method author-recipe stress audit,Five deliberately hard cases do not estimate population-level failure prevalence and the original FAMS checkpoint was inaccessible.,"Author or author-aligned preprocessing and parameter controls improved isolated artifacts, but no evaluated generative method passed complete coverage, privacy-change, compositing, and pose/expression checks on every hard case."
The final detector policy adopts the error-hardened RF variant for improved balanced OAPR score.,RQ1,strongly_supported,executed_artefact,outputs/02_face_detection/14_final_detector_policy/02_detector_policy_decision.md; outputs/02_face_detection/12_detector_error_hardening/detector_error_hardening_scores.csv,comparison table,The error-hardened variant improves the privacy-weighted detector score from 0.9129 to 0.9172 while maintaining high recall.,The primary detector policy uses the error-hardened RF on raw+RF-DETR candidates (IoU 0.45) for the balanced objective.
Gated deployment selection is the deployable decision layer; exploratory composites remain comparison evidence.,RQ4,supported_but_bounded,executed_artefact,outputs/05_oapr/decision_framework/00_framework/01_decision_framework_spec.md; outputs/05_oapr/decision_framework/08_comparison_to_exploratory/02_exploratory_vs_deployment_decision.md,decision framework body under outputs/05_oapr; sensitivity figure; stage mirrors,The gated framework does not replace all exploratory numerical tables; some rankings are objective-dependent under gates.,"Exploratory weighted composites supported method exploration. The in-body decision framework adds gates, presence vs localisation multimodal scores, sensitivity, and Pareto analysis for deployable selection (progressive evaluation design)."
Multimodal residual hard-miss work remains open for further detector-stack promotion.,RQ3,not_supported,executed_artefact,outputs/04_multimodal_privacy/01_multimodal_250_evidence/17_residual_boundary/01_residual_case_ledger.md,residual hard-miss boundary; residual case ledger,Further default-stack changes require a new protocol or detector family with stronger development-gated evidence.,"Screen-presence cascade is closed (FN 5→1→0). Remaining residual classes are frozen limitations (detector-incapable text, low-IoU screen hyp, residual readability, fill utility cost), not unfinished default-policy work."
Localisation-oriented multimodal detection deployment score is 0.633348 on the held-out 75-image split (not a presence-only score).,RQ3,strongly_supported,executed_artefact,outputs/05_oapr/decision_framework/03_stage_scores/03_multimodal_detection_deployment.csv; outputs/04_multimodal_privacy/01_multimodal_250_evidence/15_deployment_selection/03_multimodal_detection_deployment.csv,oapr_deployment_multimodal_detection_score row (development-locked screen/text variants; evaluation_split=test),This score weights screen IoU and text region precision for localisation honesty; it is intentionally lower than presence composite 0.9458.,Localisation-oriented multimodal detection score = 0.633348 (held-out test; locked development-selected variants). Presence composite remains 0.9458 and must be dual-reported.
"Privacy-verifying cascaded OAPR policy scores 0.900863 on the locked 500-frame surface when assembled from retained per-method outputs (paired gain over layered +0.011074, 95% CI [0.008609, 0.013819]).",RQ4,supported_with_boundary,simulation_evidence,outputs/03_anonymisation/11_policy_hardening/06_final_policy_summary.csv; outputs/03_anonymisation/11_policy_hardening/07_paired_policy_statistics.csv; outputs/03_anonymisation/11_policy_hardening/05_final_policy_routes.csv,privacy_verifying_cascade row,"Assembled from retained method outputs (simulation-style materialisation of routes), not a single sequential generative re-run of every advanced method.",Cascaded privacy-verifying policy score 0.900863 is simulation_evidence over retained outputs; default deployable policy remains visual-safe deterministic OAPR.
The visual review was a structured author-partner project process rather than a blinded participant study.,RQ2/RQ4,strongly_supported,review_provenance,outputs/03_anonymisation/19_visual_eligibility_gate/05_manual_review_provenance.csv; outputs/03_anonymisation/19_visual_eligibility_gate/03_manual_author_partner_review_completion.md,canonical provenance table,Mixed inherited and heuristic expansion rows are not independent partner ratings.,The author and project partner manually inspected and corrected annotations and relevant outputs using dedicated review applications; this was structured project review.
The App objective profiles are distinct from scientific OAPR.,RQ4,strongly_supported,implementation_boundary,configs/policy_registry.json; app/docs/evidence_boundary.md,policy registry,Fixed App profiles do not reproduce condition-aware scientific routing.,OAPR is the adaptive scientific framework; the App uses simplified evidence-selected visual-safe objective profiles.
The exact App runtime detector is a bounded three-source approximation with no assigned scientific score.,RQ1,strongly_supported,implementation_boundary,configs/policy_registry.json; outputs/02_face_detection/16_runtime_source_validation/02_runtime_vs_scientific_summary.json,runtime detector boundary,A separately trained three-source candidate score does not validate the currently loaded RF approximation.,The App runtime detector reports its exact source bank and model hash without inheriting the seven-source 0.917165 result.
The retained 500-frame execution replays frozen OAPR decisions and logs actual applied operators separately.,RQ4,strongly_supported,executed_artefact,outputs/10_final_enhancement_evaluation/06_frozen_scientific_oapr_route_replay/metadata/summary.json,route and application counts,Detector-derived zero-box overrides change applied counts and this is not fresh routing.,Frozen scientific decisions are 286/81/133; actual applied operators are 285/72/143.
